Entity;Code;Year;Per capita energy consumption;GDP per capita;World region according to OWID
Slovenia;SVN;2023;34819.645;47977.426;Europe
Solomon Islands;SLB;2023;1657.2433;2339.575;Oceania
Somalia;SOM;2023;190.11856;1401.6473;Africa
South Africa;ZAF;2023;21641.15;13695.376;Africa
South Korea;KOR;2023;68753.33;54029.344;Asia
South Sudan;SSD;2023;613.11176;;Africa
Spain;ESP;2023;32760.994;47322.594;Europe
Sri Lanka;LKA;2023;4356.593;13024.94;Asia
Sudan;SDN;2023;1800.9769;2181.079;Africa
Suriname;SUR;2023;17846.547;19020.867;South America
Sweden;SWE;2023;56802.957;62662.766;Europe
Switzerland;CHE;2023;35766.453;82295.3;Europe
Syria;SYR;2023;3976.7585;;Asia
Taiwan;TWN;2023;53882.113;;Asia
Tajikistan;TJK;2023;4745.2627;4472.324;Asia
Tanzania;TZA;2023;1199.0846;3620.7935;Africa
Thailand;THA;2023;19360.342;21191.453;Asia
Togo;TGO;2023;1329.8417;2842.2307;Africa
Tonga;TON;2023;6819.3506;7030.419;Oceania
Trinidad and Tobago;TTO;2023;109068.18;31196.604;North America
Tunisia;TUN;2023;9892.207;12650.962;Africa
Turkey;TUR;2023;22476.043;35069.17;Asia
Turkmenistan;TKM;2023;59537.51;17866.404;Asia
Turks and Caicos Islands;TCA;2023;40224.883;31839.371;North America
Tuvalu;TUV;2023;0;5812.3994;Oceania
Uganda;UGA;2023;660.0664;2791.0557;Africa
Ukraine;UKR;2023;15586.6875;15916.958;Europe
United Arab Emirates;ARE;2023;134679.92;70239.85;Asia
United Kingdom;GBR;2023;28094.684;52592.684;Europe
United States;USA;2023;76326.86;74158.72;North America
United States Virgin Islands;VIR;2023;113333.984;;North America
Uruguay;URY;2023;13409.495;31059.254;South America
Uzbekistan;UZB;2023;16840.781;10007.686;Asia
Vanuatu;VUT;2023;3790.5647;3214.7024;Oceania
Venezuela;VEN;2023;24715.852;;South America
Vietnam;VNM;2023;13711.071;13545.935;Asia
Western Sahara;ESH;2023;2020.2874;;Africa
Yemen;YEM;2023;875.5177;;Asia
Zambia;ZMB;2023;2422.2598;3673.4841;Africa
Zimbabwe;ZWE;2023;3181.361;5218.0225;Africa
